Rebounds,Assisst,Turnovers,Steals,Blocks,Personal Fouls,Points,Position,General Position
Glenn Robinson III,1.5,0.6,0.4,0.4,0.2,0.5,3.8,Guard Forward,Guard
Gordon Hayward,5,3.7,2.5,1.2,0.3,2.3,19.7,Guard Forward,Guard
Hollis Thompson,3.5,1.3,1,0.5,0.3,2.4,9.8,Guard Forward,Guard
Iman Shumpert,3.8,1.7,1.1,1,0.4,2.2,5.8,Guard Forward,Guard
J.R. Smith,2.8,1.7,0.8,1.1,0.3,2.6,12.4,Guard Forward,Guard
Jakarr Sampson,2.6,0.6,1,0.3,0.5,1.9,5.1,Guard Forward,Guard
Jamal Crawford,1.8,2.3,1.4,0.7,0.2,1.5,14.2,Guard Forward,Guard
James Anderson,1.7,0.8,0.8,0.4,0.3,1.1,3.5,Guard Forward,Guard
James Ennis III,1.9,1,0.9,0.7,0.2,1.3,7.2,Guard Forward,Guard
James Jones,1,0.3,0.3,0.2,0.2,1,3.8,Guard Forward,Guard
Jeff Green,4.2,1.7,1.2,0.7,0.5,2.1,11.7,Guard Forward,Guard
Jeremy Lamb,3.8,1.2,0.8,0.6,0.5,1.6,8.8,Guard Forward,Guard
Jimmy Butler,5.3,4.8,2,1.6,0.6,1.9,20.9,Guard Forward,Guard
Joe Ingles,1.9,1.2,0.8,0.7,0,1.2,4.2,Guard Forward,Guard
Joe Johnson,3.6,3.9,2,0.8,0,1.8,12.2,Guard Forward,Guard
John Jenkins,1.3,0.8,0.6,0.2,0,0.5,4.1,Guard Forward,Guard
Jonathon Simmons,1.7,1.1,1,0.4,0.1,1.9,6,Guard Forward,Guard
Justin Holiday,1.7,1.1,0.7,0.6,0.4,1.2,4.5,Guard Forward,Guard
Kawhi Leonard,6.8,2.6,1.5,1.8,1,1.8,21.2,Guard Forward,Guard
Kent Bazemore,5.1,2.3,1.8,1.3,0.5,2.3,11.6,Guard Forward,Guard
Kevin Martin,2,1.1,1,0.5,0.1,1.5,9.3,Guard Forward,Guard
Khris Middleton,3.8,4.2,2.3,1.7,0.2,2.6,18.2,Guard Forward,Guard
Klay Thompson,3.8,2.1,1.7,0.8,0.6,1.9,22.1,Guard Forward,Guard
Kobe Bryant,3.7,2.8,2,0.9,0.2,1.7,17.6,Guard Forward,Guard
Kyle Anderson,3.1,1.6,0.8,0.8,0.4,1.2,4.5,Guard Forward,Guard
Kyle Korver,3.3,2.1,1.2,0.8,0.4,2,9.2,Guard Forward,Guard
Kyle Singler,2.1,0.4,0.5,0.4,0.1,1.8,3.4,Guard Forward,Guard
Lance Stephenson,3.2,1.9,1.4,0.6,0.1,2,8.3,Guard Forward,Guard
Lance Thomas,2.2,0.9,1,0.4,0.1,1.8,8.2,Guard Forward,Guard
